plant_id,plant_name,soil_moisture,temperature,last_watered,botanist_email,botanist_forename,botanist_surname,botanist_phone,country_name,scientific_name,images,recording_taken
12,Brugmansia X Candida,89.65118105108056,12.773383976810997,"Tue, 26 Nov 2024 13:13:51 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,US,,,2024-11-26 16:09:26
13,Canna ‘Striata’,91.60373661594868,9.502305809112183,"Tue, 26 Nov 2024 13:36:47 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,DE,,,2024-11-26 16:09:27
14,Colocasia Esculenta,93.70253817121355,13.108620759115091,"Tue, 26 Nov 2024 14:17:54 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,US,['Colocasia esculenta'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/medium/24325097844_14719030a3_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/og/24325097844_14719030a3_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/regular/24325097844_14719030a3_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/small/24325097844_14719030a3_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2015_colocasia_esculenta/thumbnail/24325097844_14719030a3_b.jpg'}",2024-11-26 16:09:28
15,Cuphea ‘David Verity’,91.53141490588236,9.964991249686474,"Tue, 26 Nov 2024 13:45:31 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,TN,,,2024-11-26 16:09:28
16,Euphorbia Cotinifolia,88.10097863285714,13.270585749147799,"Tue, 26 Nov 2024 13:50:40 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,US,['Euphorbia cotinifolia'],"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/medium/51952243235_061102bd05_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/og/51952243235_061102bd05_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/regular/51952243235_061102bd05_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/small/51952243235_061102bd05_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/thumbnail/51952243235_061102bd05_b.jpg'}",2024-11-26 16:09:29
17,Ipomoea Batatas,92.61835451988361,9.753221484405131,"Tue, 26 Nov 2024 14:02:40 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,ID,['Ipomoea batatas'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:30
18,Manihot Esculenta ‘Variegata’,94.18232758349515,9.004273515446881,"Tue, 26 Nov 2024 14:29:39 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,DE,,,2024-11-26 16:09:31
19,Musa Basjoo,90.77117459273066,13.84988394209569,"Tue, 26 Nov 2024 13:24:30 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,BW,['Musa basjoo'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:32
20,Salvia Splendens,95.30801629325514,8.5759686635395,"Tue, 26 Nov 2024 14:49:34 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,ES,['Salvia splendens'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:33
21,Anthurium,93.9829663751187,11.000047718019541,"Tue, 26 Nov 2024 14:23:59 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,BR,['Anthurium andraeanum'],"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/855_anthurium_andraeanum/medium/49388458462_0ef650db39_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/855_anthurium_andraeanum/og/49388458462_0ef650db39_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/855_anthurium_andraeanum/regular/49388458462_0ef650db39_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/855_anthurium_andraeanum/small/49388458462_0ef650db39_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/855_anthurium_andraeanum/thumbnail/49388458462_0ef650db39_b.jpg'}",2024-11-26 16:09:34
22,Bird of Paradise,89.11345515107212,9.532285972392927,"Tue, 26 Nov 2024 13:03:26 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,DE,"[""Heliconia schiedeana 'Fire and Ice'""]","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:35
23,Cordyline Fruticosa,95.80714393378119,11.391670318762626,"Tue, 26 Nov 2024 14:56:47 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,DE,['Cordyline fruticosa'],"{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'medium_url': 'https://perenual.com/storage/species_image/2045_cordyline_fruticosa/medium/2560px-Cordyline_fruticosa_Rubra_1.jpg', 'original_url': 'https://perenual.com/storage/species_image/2045_cordyline_fruticosa/og/2560px-Cordyline_fruticosa_Rubra_1.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2045_cordyline_fruticosa/regular/2560px-Cordyline_fruticosa_Rubra_1.jpg', 'small_url': 'https://perenual.com/storage/species_image/2045_cordyline_fruticosa/small/2560px-Cordyline_fruticosa_Rubra_1.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2045_cordyline_fruticosa/thumbnail/2560px-Cordyline_fruticosa_Rubra_1.jpg'}",2024-11-26 16:09:35
24,Ficus,94.88933465472637,13.04425726930328,"Tue, 26 Nov 2024 14:44:00 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,JP,['Ficus carica'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/288_ficus_carica/medium/52377169610_b7a247a378_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/288_ficus_carica/og/52377169610_b7a247a378_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/288_ficus_carica/regular/52377169610_b7a247a378_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/288_ficus_carica/small/52377169610_b7a247a378_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/288_ficus_carica/thumbnail/52377169610_b7a247a378_b.jpg'}",2024-11-26 16:09:36
25,Palm Trees,92.59611400754005,11.577767645079057,"Tue, 26 Nov 2024 13:58:41 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,SD,,,2024-11-26 16:09:36
26,Dieffenbachia Seguine,94.13130428702851,14.140578620573425,"Tue, 26 Nov 2024 14:23:18 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,DZ,['Dieffenbachia seguine'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/2468_dieffenbachia_seguine/medium/24449059743_2aee995991_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/2468_dieffenbachia_seguine/og/24449059743_2aee995991_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2468_dieffenbachia_seguine/regular/24449059743_2aee995991_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2468_dieffenbachia_seguine/small/24449059743_2aee995991_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2468_dieffenbachia_seguine/thumbnail/24449059743_2aee995991_b.jpg'}",2024-11-26 16:09:37
27,Spathiphyllum,95.92234012583413,10.743724864734785,"Tue, 26 Nov 2024 14:58:20 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,UA,['Spathiphyllum (group)'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:37
28,Croton,94.44951084615384,12.39985043203057,"Tue, 26 Nov 2024 14:37:02 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,US,['Codiaeum variegatum'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/1999_codiaeum_variegatum/medium/29041866364_2c535b2297_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/1999_codiaeum_variegatum/og/29041866364_2c535b2297_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/1999_codiaeum_variegatum/regular/29041866364_2c535b2297_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/1999_codiaeum_variegatum/small/29041866364_2c535b2297_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/1999_codiaeum_variegatum/thumbnail/29041866364_2c535b2297_b.jpg'}",2024-11-26 16:09:38
29,Aloe Vera,89.99541400654817,10.812265060609684,"Tue, 26 Nov 2024 13:11:24 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,JP,['Aloe vera'],"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/728_aloe_vera/medium/52619084582_6ebcfe6a74_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/728_aloe_vera/og/52619084582_6ebcfe6a74_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/728_aloe_vera/regular/52619084582_6ebcfe6a74_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/728_aloe_vera/small/52619084582_6ebcfe6a74_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/728_aloe_vera/thumbnail/52619084582_6ebcfe6a74_b.jpg'}",2024-11-26 16:09:38
30,Ficus Elastica,92.57762458195212,14.49564020957949,"Tue, 26 Nov 2024 13:55:19 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,LY,['Ficus elastica'],"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/2961_ficus_elastica/medium/533092219_8da73ba0d2_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/2961_ficus_elastica/og/533092219_8da73ba0d2_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/2961_ficus_elastica/regular/533092219_8da73ba0d2_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/2961_ficus_elastica/small/533092219_8da73ba0d2_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/2961_ficus_elastica/thumbnail/533092219_8da73ba0d2_b.jpg'}",2024-11-26 16:09:39
31,Sansevieria Trifasciata,89.3874293875,13.344964988763547,"Tue, 26 Nov 2024 13:05:43 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,CN,['Sansevieria trifasciata'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:40
32,Philodendron Hederaceum,94.04808195427435,10.595902499705083,"Tue, 26 Nov 2024 14:29:54 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,DE,['Philodendron hederaceum'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:41
33,Schefflera Arboricola,92.7923161330097,13.527929449201727,"Tue, 26 Nov 2024 14:05:58 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,IN,['Schefflera arboricola'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:41
34,Aglaonema Commutatum,91.49377221734893,13.392682346024076,"Tue, 26 Nov 2024 13:44:15 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,ES,['Aglaonema commutatum'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/625_aglaonema_commutatum/medium/24798632751_3a039ecbc6_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/625_aglaonema_commutatum/og/24798632751_3a039ecbc6_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/625_aglaonema_commutatum/regular/24798632751_3a039ecbc6_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/625_aglaonema_commutatum/small/24798632751_3a039ecbc6_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/625_aglaonema_commutatum/thumbnail/24798632751_3a039ecbc6_b.jpg'}",2024-11-26 16:09:42
35,Monstera Deliciosa,90.70378231589339,12.900085114255658,"Tue, 26 Nov 2024 13:32:46 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,CL,['Monstera deliciosa'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:43
36,Tacca Integrifolia,93.2434960986842,12.282244522744413,"Tue, 26 Nov 2024 14:09:55 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,US,['Tacca integrifolia'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:43
37,Psychopsis Papilio,93.94158777523809,11.073258405372911,"Tue, 26 Nov 2024 14:23:43 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,IN,,,2024-11-26 16:09:44
38,Saintpaulia Ionantha,91.98273166046512,11.055781431013765,"Tue, 26 Nov 2024 13:46:06 GMT",gertrude.jekyll@lnhm.co.uk,Gertrude,Jekyll,001-481-273-3691x127,TZ,['Saintpaulia ionantha'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:44
39,Gaillardia,93.35032671343284,13.38168176882505,"Tue, 26 Nov 2024 14:18:23 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,JP,['Gaillardia aestivalis'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:45
40,Amaryllis,93.11527410351201,9.062221772654379,"Tue, 26 Nov 2024 14:05:38 GMT",eliza.andrews@lnhm.co.uk,Eliza,Andrews,(846)669-6651x75948,FR,['Hippeastrum (group)'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'medium_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'original_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'regular_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'small_url': 'https://perenual.com/storage/image/upgrade_access.jpg', 'thumbnail': 'https://perenual.com/storage/image/upgrade_access.jpg'}",2024-11-26 16:09:47
41,Caladium Bicolor,91.9067868852612,11.729136387685795,"Tue, 26 Nov 2024 13:45:13 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,IN,['Caladium bicolor'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'medium_url': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/medium/25575875658_d782fb76f1_b.jpg', 'original_url': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/og/25575875658_d782fb76f1_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/regular/25575875658_d782fb76f1_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/small/25575875658_d782fb76f1_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/1457_caladium_bicolor/thumbnail/25575875658_d782fb76f1_b.jpg'}",2024-11-26 16:09:48
42,Chlorophytum Comosum,95.36017078474903,9.848099593319219,"Tue, 26 Nov 2024 14:49:43 GMT",carl.linnaeus@lnhm.co.uk,Carl,Linnaeus,(146)994-1635x35992,BG,"[""Chlorophytum comosum 'Vittatum'""]","{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'medium_url': 'https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/medium/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg', 'original_url': 'https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/og/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg', 'regular_url': 'https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/regular/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg', 'small_url': 'https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/small/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/thumbnail/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg'}",2024-11-26 16:09:49
